candidate_pair,rna_component,methylation_component,structural_family,final_audit_status,scientific_priority,strict_hm27_status,relationship_form,primary_limitation,consensus_handling,source_provenance
CROSS_OMIC_PAIR_02,RNA_IC083,METH_IC232,PF05,HIGH_PRIORITY_CANDIDATE,HIGH,SUPPORTED,STATE_EXTREME_NONLINEAR,"Not a uniform continuous relation; HM27 extreme-state support was partial and HM27 is internal rather than external","Primary tumor anchor; preserve the state/extreme-aware interpretation; do not encode as a uniform linear gradient or a demonstrated discrete subtype.","_codex_exploratory_audit/03_explorations/analysis_001_program_independence/program_family_summary.csv (family membership); _codex_exploratory_audit/04_candidate_signals/final_candidate_summary.csv (final status, priority, HM27 status, limitation, handling); _codex_exploratory_audit/04_candidate_signals/candidate_summary.csv and _codex_exploratory_audit/05_final_report.md (relationship form); data/processed/tumor_programs/tcga_primary_tumor_cross_omic_candidate_pair_catalog.csv (identity verification only)"
CROSS_OMIC_PAIR_03,RNA_IC184,METH_IC169,PF01,METHOD_LIMITED,CONDITIONAL_HIGH,NOT_EVALUABLE,CONTINUOUS_ASSOCIATION_HYPOTHESIS,"HM450-only matching missed the frozen score-correlation threshold in both modalities; no valid HM27 test","Retain as the main continuous hypothesis but do not label platform-validated or give it evidence equivalent to Pair 02","_codex_exploratory_audit/03_explorations/analysis_001_program_independence/program_family_summary.csv (family membership); _codex_exploratory_audit/04_candidate_signals/final_candidate_summary.csv (final status, priority, HM27 status, limitation, handling); _codex_exploratory_audit/04_candidate_signals/candidate_summary.csv and _codex_exploratory_audit/05_final_report.md (relationship form); data/processed/tumor_programs/tcga_primary_tumor_cross_omic_candidate_pair_catalog.csv (identity verification only)"
CROSS_OMIC_PAIR_04,RNA_IC150,METH_IC128,PF01,CONFOUNDED,LOW,SUPPORTED_SMALL_EFFECT,NO_RECURRENT_NONLINEAR_RELATIONSHIP_IDENTIFIED,"Effect fell from original 0.133 to HM450 refit 0.076 and HM27 0.048; about half retained after immune/purity adjustment with sign reversals","Platform support does not rehabilitate biological priority; retain as a confounded PF01 arm","_codex_exploratory_audit/03_explorations/analysis_001_program_independence/program_family_summary.csv (family membership); _codex_exploratory_audit/04_candidate_signals/final_candidate_summary.csv (final status, priority, HM27 status, limitation, handling); _codex_exploratory_audit/04_candidate_signals/candidate_summary.csv and _codex_exploratory_audit/05_final_report.md (relationship form); data/processed/tumor_programs/tcga_primary_tumor_cross_omic_candidate_pair_catalog.csv (identity verification only)"
CROSS_OMIC_PAIR_05,RNA_IC169,METH_IC023,PF06,METHOD_LIMITED,MEDIUM,NOT_EVALUABLE,CONTINUOUS_ASSOCIATION,"Original components were not stably recovered for strict HM27 projection","Carry only as a secondary exploratory candidate under the existing robustness gates","_codex_exploratory_audit/03_explorations/analysis_001_program_independence/program_family_summary.csv (family membership); _codex_exploratory_audit/04_candidate_signals/final_candidate_summary.csv (final status, priority, HM27 status, limitation, handling); _codex_exploratory_audit/04_candidate_signals/candidate_summary.csv and _codex_exploratory_audit/05_final_report.md (relationship form); data/processed/tumor_programs/tcga_primary_tumor_cross_omic_candidate_pair_catalog.csv (identity verification only)"
CROSS_OMIC_PAIR_06,RNA_IC175,METH_IC013,PF02,METHOD_LIMITED,MEDIUM_LOW,NOT_EVALUABLE,NO_RECURRENT_NONLINEAR_RELATIONSHIP_IDENTIFIED,"Heterogeneous and not stably recoverable; shares METH_IC013 with Pair 14","Treat as the cleaner PF02 arm but without validation claims","_codex_exploratory_audit/03_explorations/analysis_001_program_independence/program_family_summary.csv (family membership); _codex_exploratory_audit/04_candidate_signals/final_candidate_summary.csv (final status, priority, HM27 status, limitation, handling); _codex_exploratory_audit/04_candidate_signals/candidate_summary.csv and _codex_exploratory_audit/05_final_report.md (relationship form); data/processed/tumor_programs/tcga_primary_tumor_cross_omic_candidate_pair_catalog.csv (identity verification only)"
CROSS_OMIC_PAIR_07,RNA_IC050,METH_IC234,PF07,METHOD_LIMITED,MEDIUM,NOT_EVALUABLE,NO_RECURRENT_NONLINEAR_RELATIONSHIP_IDENTIFIED,"No stable strict HM27 component recovery","Carry as a secondary exploratory candidate","_codex_exploratory_audit/03_explorations/analysis_001_program_independence/program_family_summary.csv (family membership); _codex_exploratory_audit/04_candidate_signals/final_candidate_summary.csv (final status, priority, HM27 status, limitation, handling); _codex_exploratory_audit/04_candidate_signals/candidate_summary.csv and _codex_exploratory_audit/05_final_report.md (relationship form); data/processed/tumor_programs/tcga_primary_tumor_cross_omic_candidate_pair_catalog.csv (identity verification only)"
CROSS_OMIC_PAIR_08,RNA_IC151,METH_IC050,PF08,METHOD_LIMITED,MEDIUM,NOT_EVALUABLE,NO_RECURRENT_NONLINEAR_RELATIONSHIP_IDENTIFIED,"No stable strict HM27 component recovery","Carry as a secondary small-effect candidate; do not upgrade","_codex_exploratory_audit/03_explorations/analysis_001_program_independence/program_family_summary.csv (family membership); _codex_exploratory_audit/04_candidate_signals/final_candidate_summary.csv (final status, priority, HM27 status, limitation, handling); _codex_exploratory_audit/04_candidate_signals/candidate_summary.csv and _codex_exploratory_audit/05_final_report.md (relationship form); data/processed/tumor_programs/tcga_primary_tumor_cross_omic_candidate_pair_catalog.csv (identity verification only)"
CROSS_OMIC_PAIR_09,RNA_IC001,METH_IC107,PF03,METHOD_LIMITED,MEDIUM_LOW,NOT_EVALUABLE,NO_RECURRENT_NONLINEAR_RELATIONSHIP_IDENTIFIED,"Substantial heterogeneity and no stable strict HM27 recovery; shares RNA_IC001 with Pair 10","Keep below Pair 10 and avoid double-counting PF03","_codex_exploratory_audit/03_explorations/analysis_001_program_independence/program_family_summary.csv (family membership); _codex_exploratory_audit/04_candidate_signals/final_candidate_summary.csv (final status, priority, HM27 status, limitation, handling); _codex_exploratory_audit/04_candidate_signals/candidate_summary.csv and _codex_exploratory_audit/05_final_report.md (relationship form); data/processed/tumor_programs/tcga_primary_tumor_cross_omic_candidate_pair_catalog.csv (identity verification only)"
CROSS_OMIC_PAIR_10,RNA_IC001,METH_IC241,PF03,METHOD_LIMITED,MEDIUM,NOT_EVALUABLE,NO_RECURRENT_NONLINEAR_RELATIONSHIP_IDENTIFIED,"No stable strict HM27 component recovery; shares RNA_IC001 with Pair 09","Treat as a distinct arm within PF03 without counting the shared RNA axis twice","_codex_exploratory_audit/03_explorations/analysis_001_program_independence/program_family_summary.csv (family membership); _codex_exploratory_audit/04_candidate_signals/final_candidate_summary.csv (final status, priority, HM27 status, limitation, handling); _codex_exploratory_audit/04_candidate_signals/candidate_summary.csv and _codex_exploratory_audit/05_final_report.md (relationship form); data/processed/tumor_programs/tcga_primary_tumor_cross_omic_candidate_pair_catalog.csv (identity verification only)"
CROSS_OMIC_PAIR_11,RNA_IC193,METH_IC109,PF04,METHOD_LIMITED,LOW,NOT_EVALUABLE,NO_RECURRENT_NONLINEAR_RELATIONSHIP_IDENTIFIED,"Moderate attenuation and methylation missingness/plate sensitivity; no strict HM27 test","Keep low priority and below clean candidates","_codex_exploratory_audit/03_explorations/analysis_001_program_independence/program_family_summary.csv (family membership); _codex_exploratory_audit/04_candidate_signals/final_candidate_summary.csv (final status, priority, HM27 status, limitation, handling); _codex_exploratory_audit/04_candidate_signals/candidate_summary.csv and _codex_exploratory_audit/05_final_report.md (relationship form); data/processed/tumor_programs/tcga_primary_tumor_cross_omic_candidate_pair_catalog.csv (identity verification only)"
